collected_at,location_name,api_reported_time,congestion_status_raw,congestion_msg,congestion_level_3class,source_api,status_code,raw_response
2026-05-08 06:43:05,광화문·덕수궁,,,,,citydata,,"ERROR: ReadTimeout(ReadTimeoutError(""HTTPConnectionPool(host='openapi.seoul.go.kr', port=8088): Read timed out. (read timeout=30)""))"
2026-05-08 06:44:58,사당역,,,,,citydata,,"ERROR: ReadTimeout(ReadTimeoutError(""HTTPConnectionPool(host='openapi.seoul.go.kr', port=8088): Read timed out. (read timeout=30)""))"
2026-05-08 06:46:50,서울대입구역,,,,,citydata,,"ERROR: ReadTimeout(ReadTimeoutError(""HTTPConnectionPool(host='openapi.seoul.go.kr', port=8088): Read timed out. (read timeout=30)""))"
2026-05-08 06:48:42,노들섬,,,,,citydata,,"ERROR: ReadTimeout(ReadTimeoutError(""HTTPConnectionPool(host='openapi.seoul.go.kr', port=8088): Read timed out. (read timeout=30)""))"
2026-05-08 06:50:34,어린이대공원,,,,,citydata,,"ERROR: ReadTimeout(ReadTimeoutError(""HTTPConnectionPool(host='openapi.seoul.go.kr', port=8088): Read timed out. (read timeout=30)""))"
