Model,Accuracy,Macro_F1,Weighted_F1
Dummy,0.843400447427293,0.3050161812297735,0.7717523511652659
Logistic Regression,0.7740492170022372,0.5320686674198953,0.7968598276686847
Random Forest,0.8702460850111857,0.6644595815327522,0.8758322408183269
Decision Tree,0.6890380313199105,0.5203639013162823,0.743951822890781
